FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET
F_MODE_GEOLOCATION,Flag indicating possible mismatch between observation mode and geolocation,,,1,1,1,boolean,1,1,128
F_MIN,Flag indicating that mean raw signal is below a specified threshold per 10 bands and 32 read-outs,,,10,1,1,bitst(32),4,40,129
MEAN_UC,Mean raw signal per 10 bands,,,10,1,1,integer4,4,40,169
F_OLD_CAL_DATA,Flag to indicate that old in-flight auxiliary calibration data is in use,,,1,1,1,bitst(32),4,4,209
F_MISS_STOKES,Flag indicating missing Stokes fractions per PMD band,,,15,1,1,boolean,1,15,213
F_BAD_STOKES,Flag indicating bad Stokes fractions per PMD band and main channel readout,,,15,32,1,boolean,1,480,228
SIGMA_SCENE,Scene variability within a 187.5 ms groundpixel,6,,32,1,1,integer4,4,128,708
FIT_MODE,Cloud fitting mode corresponding to main channel BAND_4 Readouts,,,32,1,1,enumerated,1,32,836
FAIL_FLAG,Fail flag corresponding to main channel BAND_4 readouts,,,32,1,1,enumerated,1,32,868
FIT_1,Cloud fitting parameter 1 corresponding to main channel BAND_4 readouts,3,hPa,32,1,1,integer4,4,128,900
FIT_2,Cloud fitting parameter 2 corresponding to main channel BAND_4 readouts,6,,32,1,1,integer4,4,128,1028
E_FIT_1,Error in Cloud fitting parameter 1 corresponding to main channel BAND_4 readouts,1,hPa,32,1,1,u-integer2,2,64,1156
E_FIT_2,Error in Cloud fitting parameter 2 corresponding to main channel BAND_4 readouts,4,,32,1,1,u-integer2,2,64,1220
FINAL_CHI_SQUARE,Final Chi-Square from cloud parameter fitting corresponding to main channel BAND_4 readouts,5,,32,1,1,u-integer4,4,128,1284
CLOUD_ALBEDO,Cloud albedo corresponding to main channel BAND_4 readouts,6,,32,1,1,integer4,4,128,1412
SURFACE_ALBEDO,Surface albedo used in the retrieval at 758 and 772 nm corresponding to main channel BAND_4 readouts,6,,32,2,1,integer4,4,256,1540
SURFACE_PRESSURE,Surface pressure corresponding to main channel BAND_4 readouts,3,hPa,32,1,1,integer4,4,128,1796
CLOUD_PMD_1,Cloud property 1 corresponding to BAND_PP PMD readouts,3,hPa,256,1,1,integer4,4,1024,1924
CLOUD_PMD_2,Cloud property 2 corresponding to BAND_PP PMD readouts,6,,256,1,1,integer4,4,1024,2948
OBSERVATION_MODE,Observation mode,,,1,1,1,enumerated,1,1,3972
PMD_TRANSFER,PMD transfer mode,,,1,1,1,enumerated,1,1,3973
PMD_READOUT,PMD readout mode,,,1,1,1,enumerated,1,1,3974
SCANNER_ANGLE,Scanner viewing angle with additional element at end of scan,6,deg,65,1,1,integer4,4,260,3975
UTC_TIME,UTC time associated with every second scanner position,,,32,1,1,short cds time,6,192,4235
SUB_SATELLITE_POINT,Geodetic latitude and geocentric longitude of sub-satellite point,6,deg,32,2,1,integer4,4,256,4427
SATELLITE_ALTITUDE,Geodetic altitude of satellite,3,m,32,1,1,integer4,4,128,4683
SOLAR_ZENITH_ANGLE,Solar zenith angle (Satellite Relative Actual CS),6,deg,32,1,1,integer4,4,128,4811
SOLAR_AZIMUTH_ANGLE,Solar azimuth angle (Satellite Relative Actual CS),6,deg,32,1,1,integer4,4,128,4939
SCAN_CORNER,Geodetic latitude and geocentric longitude for the complete scan at ground points ABCD,6,deg,4,2,1,integer4,4,32,5067
SCAN_CENTRE,Geodetic latitude and geocentric longitude at ground,6,deg,2,1,1,integer4,4,8,5099
CORNER,Geodetic latitude and geocentric longitude at ground points ABCD,6,deg,32,4,2,integer4,4,1024,5107
CENTRE,Geodetic latitude and geocentric longitude at ground point F,6,deg,32,2,1,integer4,4,256,6131
SOLAR_ZENITH,Solar zenith angle at height h0 points EFG,6,deg,32,3,1,integer4,4,384,6387
SOLAR_AZIMUTH,Solar azimuth angle at height h0 points EFG,6,deg,32,3,1,integer4,4,384,6771
SAT_ZENITH,Satellite zenith angle at height h0 points EFG,6,deg,32,3,1,integer4,4,384,7155
SAT_AZIMUTH,Satellite azimuth angle at height h0 points EFG,6,deg,32,3,1,integer4,4,384,7539
SCAT_ANGLE,Scattering angle at height h0 point F,6,deg,32,1,1,integer4,4,128,7923
SURFACE_ELEVATION,Land/sea floor elevation above sea level point F,3,m,32,1,1,integer4,4,128,8051
EARTH_RADIUS,Radius of the earth,,m,1,1,1,integer4,4,4,8179
N_UNIQUE_INT,Number of unique integration times in scan,,,1,1,1,u-byte,1,1,8183
UNIQUE_INT,Unique integration times in scan,6,s,10,1,1,integer4,4,40,8184
GEO_REC_LENGTH,Number of geo-record per unique integration time,,,N_GEO_BANDS,1,1,u-integer2,2,20,8224
